LotFrontage,LotArea,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,MoSold,YrSold,SalePrice
70,4928,1976,1976,120,958,1078,958,0,958,440,0,205,0,2,2007,128000
55,4388,1930,1950,116,556,672,840,0,840,0,0,0,0,6,2007,87000
69,7590,1966,1966,512,148,660,660,688,1348,453,188,108,0,7,2006,155000
69,8973,1958,1991,567,413,1008,1053,0,1053,750,0,80,0,7,2006,150000
88,14200,1966,1966,445,479,924,1216,941,2157,487,105,66,0,5,2006,226000
70,12224,2000,2000,695,297,992,1022,1032,2054,390,24,48,0,7,2009,244000
75,7388,1959,2002,405,658,1063,1327,0,1327,624,0,0,0,7,2007,150750
70,6853,2001,2002,1005,262,1267,1296,0,1296,471,192,25,0,6,2009,220000
78,10335,1968,1993,570,891,1461,1721,0,1721,440,0,96,180,7,2006,180000
80,10400,1970,1970,0,1304,1304,1682,0,1682,530,98,0,0,5,2008,174000
70,10355,1967,1967,695,519,1214,1214,0,1214,318,0,111,0,7,2007,143000
82,11070,1988,1989,0,1907,1907,1959,0,1959,766,0,0,0,7,2006,171000
73,9066,1999,2000,668,336,1004,1004,848,1852,660,224,106,0,12,2008,230000
65,15426,1997,1997,821,107,928,928,836,1764,470,276,99,0,8,2009,231500
70,10500,1971,1971,432,432,864,864,0,864,0,0,0,0,4,2010,115000
78,11645,2005,2005,1300,434,1734,1734,0,1734,660,160,24,0,1,2006,260000
71,8520,1952,1952,507,403,910,910,475,1385,720,0,0,0,6,2010,166000
78,10335,1999,1999,679,811,1490,1501,0,1501,577,144,29,0,6,2009,204000
70,9100,1963,1963,1332,396,1728,1728,0,1728,504,0,0,0,11,2006,125000
24,2522,2004,2006,0,970,970,970,739,1709,380,0,40,0,4,2006,130000
51,6120,1931,1993,209,506,715,875,0,875,180,48,0,0,11,2009,105000
70,9505,2001,2001,0,884,884,884,1151,2035,434,144,48,0,5,2010,222500
63,7500,2004,2005,680,400,1080,1080,0,1080,0,0,0,0,4,2008,141000
70,6240,1936,1950,0,896,896,896,448,1344,240,200,114,0,4,2006,115000
120,10356,1975,1975,716,253,969,969,0,969,440,0,0,0,1,2007,122000
107,13891,2007,2008,1400,310,1710,1710,0,1710,866,0,102,0,1,2008,372402
70,14803,1971,1971,416,409,825,1097,896,1993,495,0,66,0,6,2006,190000
70,13500,1960,1975,429,93,1602,1252,0,1252,564,409,0,0,3,2008,235000
84,11340,1923,1950,0,1200,1200,1200,0,1200,312,0,0,228,3,2006,125000
60,9600,1924,1950,0,572,572,572,524,1096,0,0,8,128,4,2008,79000
60,7200,1950,1950,0,0,0,1040,0,1040,625,0,0,0,6,2006,109500
92,12003,2009,2010,0,774,774,774,1194,1968,680,0,75,0,5,2010,269500
100,12552,2004,2005,222,769,991,991,956,1947,678,0,136,0,5,2010,254900
134,19378,2005,2006,57,1335,1392,1392,1070,2462,576,239,132,0,3,2006,320000
70,11120,1984,1984,660,572,1232,1232,0,1232,516,0,0,0,6,2008,162500
110,13688,2003,2004,1016,556,1572,1572,1096,2668,726,400,0,0,3,2008,412500
95,12182,2005,2005,1201,340,1541,1541,0,1541,532,0,70,0,5,2010,220000
55,5500,1956,1956,0,882,882,882,0,882,0,0,0,0,4,2007,103200
40,5400,1926,2004,370,779,1149,1149,467,1616,216,0,0,183,10,2007,152000
62,10106,1940,1999,351,112,644,808,547,1355,0,140,0,0,9,2008,127500
70,10708,1955,1993,379,470,1617,1867,0,1867,303,476,0,0,11,2009,190000
86,10562,2007,2007,1288,294,1582,1610,551,2161,789,178,120,0,11,2007,325624
62,8244,2004,2004,0,840,840,840,880,1720,440,100,48,0,5,2007,183500
70,16669,1981,1981,0,1686,1686,1707,0,1707,511,574,64,0,1,2006,228000
70,12358,1941,1950,360,360,720,854,0,1382,660,237,0,0,5,2007,128500
141,31770,1960,1960,639,441,1080,1656,0,1656,528,210,62,0,5,2010,215000
44,5306,1987,1987,495,354,1064,1064,703,1767,504,441,35,0,6,2006,239000
80,10197,1961,1961,288,700,1362,1362,0,1362,504,0,20,0,6,2008,163000
47,12416,1986,1986,1398,0,1606,1651,0,1651,616,192,0,0,11,2008,184000
84,12615,1950,2001,477,725,1202,2158,0,2158,576,0,29,39,6,2007,243000
97,10029,1988,1989,831,320,1151,1164,896,2060,521,0,228,0,9,2007,211000
70,13650,1958,1958,57,554,1052,1252,668,1920,451,0,0,0,7,2006,172500
63,17423,2008,2009,1904,312,2216,2234,0,2234,1166,0,60,0,7,2009,501837
60,8520,1923,2006,0,968,968,968,0,968,480,0,0,184,7,2007,100000
70,2117,2000,2000,436,320,756,769,756,1525,440,0,0,0,6,2007,177000
54,7588,1920,1950,352,441,793,901,901,1802,216,0,0,40,7,2006,200100
60,9060,1957,2006,0,0,0,1340,0,1340,252,116,0,0,6,2007,120000
63,11426,2003,2003,0,1362,1362,1362,720,2082,484,280,238,0,6,2008,200000
92,7438,1908,1991,0,504,504,936,316,1252,576,104,0,0,6,2006,127000
90,22950,1892,1993,0,1107,1107,1518,1518,3608,840,0,260,0,6,2006,475000
70,9947,1990,1991,611,577,1188,1217,0,1217,497,168,27,0,6,2009,173000
60,10410,1916,1987,0,660,660,808,704,1656,180,0,0,0,8,2009,135000
64,7018,1979,1979,1086,0,1086,1224,0,1224,528,120,0,0,6,2009,153337
41,4923,2001,2002,1153,440,1593,1593,0,1593,682,0,120,0,8,2008,286000
70,10570,1932,1994,297,556,853,1549,1178,2727,440,0,74,0,12,2007,315000
70,7472,1972,2004,626,99,725,725,754,1479,484,0,32,0,6,2007,184000
68,9017,1999,1999,560,871,1431,1431,0,1431,666,0,35,0,9,2009,192000
24,2522,2004,2004,0,970,970,970,739,1709,380,0,40,0,5,2006,130000
60,7180,1972,1972,390,474,864,864,0,864,352,0,0,0,5,2008,127000
24,2280,1976,1976,566,289,855,855,601,1456,440,87,0,0,7,2009,148500
79,9416,2007,2007,1126,600,1726,1726,0,1726,786,171,138,0,9,2007,311872
174,25419,1918,1990,1036,140,1360,1360,1360,3112,795,0,16,552,3,2006,235000
92,5520,1912,1950,0,755,755,929,929,2229,0,0,198,30,7,2009,104000
76,9591,2004,2005,1088,625,1713,1713,0,1713,856,0,26,0,1,2009,274900
80,8546,2003,2004,0,1121,1121,1121,0,1121,440,132,64,0,3,2010,140000
75,10125,1977,1977,641,276,1196,1279,0,1279,473,238,83,0,2,2008,171500
50,7000,1924,1950,617,0,617,865,445,1310,398,0,0,126,5,2006,112000
70,4438,2004,2004,662,186,848,848,0,848,420,149,0,0,1,2008,149000
50,3500,1947,1950,312,408,720,720,564,1284,240,0,35,0,4,2009,110000
99,11851,1990,1990,0,1424,1424,1442,0,1442,500,0,34,0,5,2009,180500
40,13673,1962,1962,0,1140,1140,1696,0,1696,349,0,30,0,3,2007,143900
70,12493,1960,1960,419,375,1100,1100,0,1100,312,355,0,0,4,2008,141000
70,14364,1988,1989,1065,92,1157,1180,882,2062,454,60,55,0,4,2007,277000
75,8250,1964,1964,787,305,1092,1092,0,1092,504,0,0,0,7,2008,145000
67,5604,1925,1950,468,396,864,864,0,864,0,0,0,96,4,2008,98000
83,10420,2009,2009,36,1176,1212,1212,0,1212,460,100,22,0,3,2010,186000
72,8640,2009,2009,822,78,900,932,920,1852,644,168,108,0,7,2009,252678
43,13568,1995,1995,716,274,990,990,0,990,576,224,0,0,7,2006,156000
70,10900,1977,1977,378,311,689,689,703,1392,299,0,36,0,3,2010,161750
72,10011,1957,1996,360,710,1070,1236,0,1236,447,0,0,0,5,2006,134450
65,8450,2004,2004,946,490,1436,1436,0,1436,484,139,98,0,4,2008,210000
57,9906,1925,1950,0,686,686,810,518,1328,210,0,172,60,9,2006,107000
70,15660,1939,2006,341,457,798,1137,817,1954,431,0,119,150,5,2008,311500
43,3010,2005,2006,16,1232,1248,1248,0,1248,438,108,0,0,3,2006,167240
73,8990,2006,2006,0,1498,1498,1498,0,1498,675,351,33,0,4,2006,204900
70,8068,2002,2002,0,1010,1010,1010,1257,2267,390,120,46,0,12,2009,200000
85,11475,1975,1975,550,163,713,811,741,1552,434,209,208,0,2,2006,179900
70,10500,1971,1971,524,160,864,864,0,864,576,216,0,0,3,2009,97000
103,13472,2003,2003,56,2336,2392,2392,0,2392,968,248,105,0,6,2009,386250
21,1680,1971,1971,0,630,630,630,672,1302,280,0,0,0,5,2009,112000
82,9950,1995,1995,565,638,1203,1214,1306,2520,721,224,114,0,6,2007,290000
21,1869,1970,1970,321,162,483,483,504,987,280,0,0,0,9,2008,106000
70,8521,1967,1967,842,70,912,912,0,912,336,0,0,0,5,2010,125000
43,3182,2005,2006,16,1357,1373,1555,0,1555,430,143,20,0,5,2009,192500
73,8760,1959,1959,0,1194,1194,1194,0,1194,312,0,0,120,4,2010,148000
174,15138,1995,1996,689,773,1462,1490,1304,2794,810,0,146,202,7,2009,403000
21,1680,1972,1972,0,483,483,483,504,987,288,0,0,0,6,2006,94500
75,10650,1976,1976,182,0,894,894,0,894,308,365,0,0,2,2010,128200
70,7851,2002,2002,625,235,860,860,1100,1960,440,288,48,0,5,2010,216500
21,1680,1971,1971,358,125,483,483,504,987,264,0,0,0,8,2008,89500
65,8773,2004,2004,24,1390,1414,1414,0,1414,494,132,105,0,5,2010,185500
70,9453,1993,2003,402,594,996,1014,730,1744,457,370,70,0,2,2010,194500
93,12030,2007,2007,0,1694,1694,1694,0,1694,818,168,228,0,12,2007,318000
52,8741,1945,1950,94,641,735,798,689,1487,220,0,140,0,4,2010,113000
75,9000,2008,2008,1078,488,1566,1566,0,1566,750,144,168,0,4,2010,262500
40,3880,1945,1997,329,357,686,866,0,866,0,58,42,0,8,2007,110500
63,5000,1900,1950,0,540,540,889,551,1440,352,0,0,77,4,2006,79000
75,10762,1980,1980,0,626,626,626,591,1217,288,0,28,0,4,2009,120000
70,8880,1994,2002,695,253,948,1222,888,2110,463,0,130,0,5,2010,205000
80,10400,1988,1988,929,916,1845,1872,0,1872,604,197,39,0,6,2006,241500
69,9142,1910,1950,0,1020,1020,908,1020,1928,440,0,60,112,4,2006,137000
75,11310,1954,1954,0,1367,1367,1375,0,1375,451,0,30,0,6,2006,140000
72,11317,2003,2003,0,840,840,840,828,1668,500,144,68,0,9,2007,180000
70,159000,1958,2006,697,747,1444,1444,700,2144,389,0,98,0,6,2007,277000
55,5350,1940,1966,0,728,728,1306,0,1306,0,263,0,0,5,2010,76500
44,4750,2006,2007,1573,0,1573,1625,0,1625,538,123,0,0,12,2007,235000
65,8366,2004,2004,0,798,798,798,842,1640,520,138,45,0,12,2008,173000
85,9350,1964,1991,270,452,1302,1302,0,1302,309,333,0,0,10,2007,158000
70,8400,1957,1957,922,392,1314,1314,0,1314,294,250,0,0,6,2010,145000
66,8738,1999,1999,0,975,975,1005,1286,2291,429,192,0,0,2,2006,230000
64,8791,2003,2003,503,361,864,864,864,1728,673,216,56,0,5,2008,207500
68,8814,2006,2006,1334,270,1604,1604,0,1604,660,123,110,0,3,2009,220000
80,12435,2001,2001,361,602,963,963,829,1792,564,0,96,0,5,2008,231500
70,12702,1956,1956,0,0,0,882,0,882,308,0,45,0,12,2008,97000
120,19296,1962,1962,672,0,1362,1382,0,1382,884,0,0,252,5,2009,176000
69,9588,2007,2007,0,1482,1482,1482,1092,2574,868,0,148,0,11,2007,276000
88,8471,1977,1995,506,0,506,1212,0,1212,492,292,12,0,7,2006,151000
50,5500,1929,2001,234,0,926,926,0,1316,484,0,0,0,4,2010,130000
30,5232,1925,2004,0,680,680,764,0,764,504,0,0,0,6,2008,73000
78,12090,1981,1981,588,606,1422,1422,0,1422,576,276,0,0,6,2008,175500
70,11207,1997,1997,714,88,802,802,709,1511,413,95,75,0,6,2006,185000
60,8400,1939,1997,378,342,720,1052,720,2192,240,262,24,0,7,2008,179500
71,6900,1940,1955,403,212,740,778,0,778,924,0,25,0,2,2008,120500
70,7917,1976,1976,751,392,1143,1113,0,1113,504,370,30,0,5,2007,148000
84,10728,2006,2006,0,1095,1095,1095,844,1939,1053,192,51,0,8,2006,266000
73,39104,1954,2005,226,96,1385,1363,0,1363,439,81,0,0,4,2008,241500
92,11764,1999,2007,524,628,1152,1164,1106,2270,671,132,57,0,4,2010,290000
80,9600,1958,1988,620,0,1240,1632,0,1632,338,289,0,0,4,2009,139000
76,8314,1982,1982,546,270,816,816,0,816,264,168,0,0,6,2007,124500
55,7264,1925,2007,0,952,952,952,596,1548,672,74,0,0,10,2009,205000
129,9196,2003,2003,0,1560,1560,1560,0,1560,573,100,150,0,4,2010,201000
140,19138,1951,1951,120,744,864,864,0,864,400,0,0,0,6,2010,141000
107,14450,2006,2007,0,2121,2121,2121,0,2121,732,124,98,0,5,2007,415298
83,10005,1977,1977,392,768,1160,1156,866,2022,505,288,117,0,3,2008,192000
82,11287,1989,1989,421,386,807,1175,807,1982,575,0,84,0,1,2007,228500
60,7200,2006,2006,905,357,1262,1262,0,1262,572,0,120,0,5,2006,185000
34,5063,2007,2008,904,410,1314,1314,0,1314,626,172,62,0,4,2009,207500
74,9612,2008,2009,0,1468,1468,1468,0,1468,898,210,150,0,12,2009,244600
50,8012,1992,1992,430,1145,1575,1575,0,1575,529,0,0,52,7,2007,179200
35,4251,2006,2007,0,625,625,625,625,1250,528,0,54,0,6,2007,164700
77,9786,1962,1981,600,312,912,1085,649,1734,440,0,0,0,6,2006,159000
70,8125,1971,1971,614,244,858,858,0,858,0,0,0,0,6,2006,88000
70,9819,1967,1967,450,432,882,900,0,900,280,0,0,0,2,2010,122000
60,8730,1915,2003,0,698,698,698,698,1396,384,0,0,0,7,2007,153575
120,15611,2006,2006,0,1079,1079,1079,840,1919,685,0,51,0,7,2006,233230
55,5687,1912,2000,210,570,780,936,780,1716,0,0,184,0,3,2008,135900
60,11409,1949,2008,292,476,768,1148,568,1716,281,0,0,0,1,2009,131000
70,16659,1977,1994,795,0,795,1468,795,2263,539,0,250,0,3,2006,235000
80,9600,1953,1953,1285,131,1416,1644,0,1644,418,110,0,0,10,2009,167000
37,7937,1984,1984,819,184,1003,1003,0,1003,588,120,0,0,3,2006,142500
75,13710,1950,1950,420,490,910,910,648,1558,282,289,0,0,6,2007,152000
66,7399,1997,1998,649,326,975,975,975,1950,576,0,10,0,6,2007,239000
90,11700,1968,1968,384,143,702,1041,702,1743,539,224,0,0,6,2007,175000
80,14000,1950,2004,0,1092,1092,1152,0,1152,300,0,36,0,8,2009,158500
90,15750,1953,1953,841,324,1165,1336,0,1336,375,0,0,0,6,2006,157000
66,16226,1998,1999,281,747,1028,1210,1242,2452,683,208,50,0,5,2007,267000
118,13704,2001,2002,0,1541,1541,1541,0,1541,843,468,81,0,1,2006,205000
70,9800,1972,1972,894,0,894,894,0,894,552,256,0,0,7,2006,149900
87,18386,1880,2002,0,1470,1470,1675,1818,3493,870,302,0,0,5,2008,295000
80,10386,2004,2005,1464,536,2000,2000,0,2000,888,168,0,0,7,2007,305900
116,13474,1990,1991,700,0,700,1122,1121,2243,746,127,44,224,6,2007,225000
70,7920,1920,1950,0,319,319,1035,371,1406,0,0,144,0,3,2008,89500
70,12342,1940,1950,262,599,861,861,0,861,539,158,0,0,3,2009,82500
90,12378,2003,2004,1274,622,1896,1944,0,1944,708,208,175,0,11,2006,360000
70,7685,1993,1994,518,179,697,697,804,1501,420,190,63,0,5,2006,165600
50,8000,1948,2002,680,292,972,972,0,972,240,0,0,0,5,2009,132000
65,7800,1939,1950,507,286,793,793,325,1118,410,0,0,0,5,2006,119900
150,215245,1965,1965,1236,80,2136,2036,0,2036,513,0,0,0,6,2009,375000
60,9600,1925,1990,16,712,728,832,809,1641,546,0,0,234,8,2006,178000
71,7795,2004,2005,425,291,716,716,716,1432,432,100,51,0,7,2009,188500
94,13005,1980,1980,692,153,845,1153,1200,2353,484,288,195,0,8,2009,260000
75,9000,2006,2006,0,1088,1088,1088,871,1959,1025,208,46,0,12,2007,270000
90,9900,1993,1993,987,360,1347,1372,1274,2646,656,340,60,144,4,2009,260000
70,14115,1980,1980,1036,336,1372,1472,0,1472,588,233,48,0,6,2009,187500
111,16259,2006,2006,0,1249,1249,1249,1347,2596,840,240,154,0,9,2006,342643
99,12099,2004,2004,970,166,1136,1136,1332,2468,872,184,154,0,6,2007,354000
86,10380,1986,1987,28,0,1502,1553,1177,2730,576,201,96,0,8,2007,301000
49,5820,1955,2005,256,906,1162,1163,0,1163,220,142,98,0,7,2006,126175
96,11275,1967,2007,0,710,710,1898,1080,2978,564,240,0,0,6,2010,242000
50,5000,1941,1950,116,604,720,803,0,803,360,0,0,244,12,2007,87000
32,10846,1993,1993,1619,100,1719,1719,0,1719,473,122,30,0,5,2008,324000
80,11600,1960,1960,565,818,1383,1383,0,1383,292,0,45,0,4,2006,145250
70,11888,1916,1994,0,844,844,1445,689,2134,441,0,60,268,7,2009,214500
60,6402,1920,1950,0,596,596,596,596,1192,189,0,0,137,7,2009,78000
70,10624,1964,1964,40,1424,1728,1728,0,1728,352,155,0,0,11,2007,119000
